Prospect ID,Lead Number,Lead Origin,Lead Source,Do Not Email,Do Not Call,Converted,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Country,Specialization,How did you hear about X Education,What is your current occupation,What matters most to you in choosing a course,Search,Magazine,Newspaper Article,X Education Forums,Newspaper,Digital Advertisement,Through Recommendations,Receive More Updates About Our Courses,Tags,Lead Quality,Update me on Supply Chain Content,Get updates on DM Content,Lead Profile,City,Asymmetrique Activity Index,Asymmetrique Profile Index,Asymmetrique Activity Score,Asymmetrique Profile Score,I agree to pay the amount through cheque,A free copy of Mastering The Interview,Last Notable Activity
777a1ffb-c73d-4a8b-8d85-7444ccee0c4c,614587,API,Olark Chat,No,No,0,0.0,0,0.0,Email Opened,,,,,,No,No,No,No,No,No,No,No,,,No,No,,,,,,,No,No,Email Opened
00408992-f4a1-4211-9058-e03c4a7851c8,594769,API,Organic Search,No,No,1,2.0,1248,1.0,Email Opened,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Other Leads,Other Cities,,,,,No,No,Email Opened
ffb5994d-2970-4e86-8ed7-d0c77fb5b6f0,581700,Landing Page Submission,Direct Traffic,No,No,0,4.0,387,1.33,SMS Sent,India,Business Administration,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Potential Lead,Mumbai,02.Medium,01.High,13.0,20.0,No,Yes,SMS Sent
8d5d2f30-7ca5-4406-9d2b-3b97114b2cf3,609249,Landing Page Submission,Direct Traffic,Yes,No,0,74.0,1209,12.33,Page Visited on Website,India,Select,Advertisements,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Not doing further education,Not Sure,No,No,Select,Thane & Outskirts,,,,,No,No,Page Visited on Website
dd5955f4-71f2-450d-9b1a-c291f883dfe6,631017,Landing Page Submission,Direct Traffic,No,No,0,3.0,1354,3.0,SMS Sent,India,Human Resource Management,Advertisements,,,No,No,No,No,No,No,No,No,,,No,No,,Mumbai,,,,,No,Yes,Modified
56606ecb-936e-4f18-a105-b395c4953da0,655315,API,Olark Chat,No,No,0,0.0,0,0.0,Olark Chat Conversation,,,,,,No,No,No,No,No,No,No,No,,,No,No,,,01.High,02.Medium,17.0,15.0,No,No,Modified
6d9e0f97-4b7e-436a-a98d-58d07d9e2612,645690,API,Direct Traffic,No,No,1,6.0,1408,3.0,Email Opened,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Select,Select,02.Medium,02.Medium,14.0,15.0,No,No,Email Opened
6445b49a-9c34-4dce-9d66-f128da84644f,629645,Landing Page Submission,Direct Traffic,No,No,1,3.0,294,3.0,SMS Sent,India,Human Resource Management,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Select,Mumbai,,,,,No,Yes,SMS Sent
7e1484f1-a34e-46ea-8f87-1432645f32f8,590747,Landing Page Submission,Google,No,No,0,4.0,347,4.0,Email Opened,India,Media and Advertising,Social Media,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,,No,No,Select,Mumbai,02.Medium,01.High,13.0,17.0,No,No,Email Opened
ef6f19e4-bb71-4b38-a782-8b05f4fcf400,634083,API,Olark Chat,No,No,0,0.0,0,0.0,Olark Chat Conversation,,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Graduation in progress,,No,No,Select,Select,03.Low,02.Medium,12.0,15.0,No,No,Modified
2caa32d0-50b7-4d29-b31f-2528b06d7bc8,592625,API,Organic Search,No,No,1,4.0,1823,4.0,SMS Sent,India,Supply Chain Management,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Select,02.Medium,02.Medium,15.0,16.0,No,No,SMS Sent
508b7260-b5cd-4c55-968b-3532a461c539,614077,Lead Add Form,Reference,No,No,1,0.0,0,0.0,SMS Sent,,Human Resource Management,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Select,,,,,No,No,SMS Sent
37bf3bea-1f91-4f5b-9257-15a63122edf6,618288,Landing Page Submission,Direct Traffic,No,No,1,2.0,1311,2.0,Email Opened,India,Human Resource Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Other Cities,,,,,No,Yes,Email Opened
dff121d6-09fa-4722-97b5-dd61c4d54303,629942,API,Olark Chat,No,No,0,0.0,0,0.0,Olark Chat Conversation,,,,,,No,No,No,No,No,No,No,No,,,No,No,,,,,,,No,No,Modified
a973c595-96d2-4963-a20e-e025da18a4cf,649181,API,Google,No,No,0,5.0,470,5.0,Email Opened,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,Select,Select,02.Medium,02.Medium,13.0,15.0,No,No,Email Opened
